uf20-01 6829 1 -2 3 4 -5 6 7 8 9 10 11 12 13 14 -15 16 17 18 19 20 0
uf20-02 3972 1 2 3 -4 5 6 -7 8 9 -10 11 12 -13 14 15 16 -17 18 19 -20 0
uf20-03 4933 1 2 3 4 5 6 -7 8 9 10 11 -12 13 14 15 -16 17 18 19 20 0
uf20-04 7057 -1 -2 3 4 5 -6 7 8 -9 10 11 -12 13 14 -15 16 17 18 19 20 0
uf20-05 7095 1 2 3 4 5 6 7 8 -9 10 -11 12 13 -14 15 16 -17 18 -19 -20 0
uf20-06 2319 1 2 -3 4 5 -6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 0
uf20-07 1690 -1 2 3 4 -5 6 7 8 9 -10 11 12 13 14 15 -16 -17 18 19 20 0
uf20-08 1859 1 2 3 4 -5 6 7 -8 9 10 11 12 13 14 15 16 -17 -18 -19 20 0
uf20-09 11081 -1 2 3 4 5 6 7 -8 9 10 11 12 13 14 15 16 17 -18 19 20 0
uf20-010 15483 -1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 -17 18 19 20 0
uf20-011 14178 1 2 3 4 5 6 7 -8 -9 -10 -11 12 13 14 15 16 17 18 19 20 0
uf20-012 8987 1 -2 3 -4 -5 6 7 8 9 -10 -11 12 13 14 15 -16 17 18 19 -20 0
uf20-013 11222 1 2 3 4 5 6 7 8 9 -10 -11 12 -13 14 15 -16 17 -18 -19 20 0
uf20-014 12369 1 -2 3 4 5 6 -7 8 -9 10 11 12 13 14 15 16 17 18 19 -20 0
