M-01 6829 1 -2 3 4 -5 6 7 8 9 10 11 12 13 14 -15 16 17 18 19 20 0
M-010 15483 -1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 -17 18 19 20 0
M-09 11081 -1 2 3 4 5 6 7 -8 9 10 11 12 13 14 15 16 17 -18 19 20 0
N-01 141661 1 -2 3 4 -5 6 7 8 9 10 11 12 13 14 -15 16 17 18 19 20 0
N-02 118347 1 2 3 -4 5 6 -7 8 9 -10 11 12 -13 14 15 16 -17 18 19 -20 0
N-010 130165 -1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 -17 18 19 20 0
Q-010 9133 -1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 -17 18 19 20 0
Q-03 4077 1 2 3 4 5 6 7 8 9 10 11 -12 -13 14 15 16 17 -18 -19 20 0
Q-04 3988 -1 -2 -3 4 -5 6 7 8 9 10 11 12 13 14 15 16 -17 18 19 20 0
R-02 100666 -1 2 3 4 5 6 7 8 -9 10 11 12 13 14 15 16 -17 -18 19 -20 0
R-03 95341 1 2 3 4 5 6 7 8 9 10 11 -12 -13 14 15 16 17 -18 -19 20 0
R-010 84014 -1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 -17 18 19 20 0
